English,Korean
asked,물었다
somebody,어떤 사람
mine,내 거
making,만들기
body,몸
afraid,두려워하는
sleep,잠
chance,가능성
dear,~에게
quite,상당히
four,네
anyway,그래도
close,닫다
ain,아인
party,파티
fun,재미있는
against,~에 맞서
word,단어
comes,온다
important,중요한
set,세트
shall,~일 것이다
story,이야기
number,숫자
daughter,딸
least,최소
waiting,대기 중
hurt,아프다
wish,소망
moment,순간
fight,싸움
week,주
husband,남편
girls,여자애들
rest,나머지
married,기혼
fire,불
game,게임
nobody,아무도
mr,~ 씨
children,어린이들
side,옆
stand,서다
read,읽다
though,그렇지만
cut,자르다
started,시작했다
sister,자매
supposed,추정된
between,~ 사이
child,어린이
goes,간다
hours,시간
speak,말하다
women,여성
behind,뒤에
almost,거의
truth,진실
blood,피
able,할 수 있는
lady,숙녀
anymore,더 이상
playing,연주하다
gets,얻다
shot,발사
reason,이유
trouble,문제
break,부서지다
war,전쟁
city,도시
walk,걷다
town,도시
trust,신뢰하다
dr.,박사.
met,만났다
office,사무실
question,질문
brought,가져왔다
yours,당신 것
welcome,환영
high,높은
wow,우와
couple,커플
half,반
died,사망
cool,시원한
free,무료
either,어느 하나
seems,것 같다
power,힘
whoa,와아
bye,안녕
buy,구입하다
telling,말함
honey,꿀
tried,시험을 마친
front,앞쪽
team,팀
answer,답변
gun,총
boys,소년들
line,선
send,보내다
news,소식
stupid,멍청한
bed,침대
hurry,서두르다
full,가득한
months,개월
save,구하다
sometimes,때때로
become,~이 되다
along,~을 따라
hate,싫어하다
food,음식
outside,밖의
light,빛
l,엘
needs,필요
dog,개
country,국가
clear,분명한
order,주문하다
em,여자 이름
fact,사실
lord,주님
captain,선장
six,육
hot,더운
funny,재미있는
black,검은색
mrs.,부인
alive,살아 있는
pick,선택하다
feeling,감정
living,생활
cause,원인
ahead,앞으로
lose,잃다
king,왕
plan,계획
dinner,저녁
sighs,한숨
sort,종류
leaving,퇴거
shouldn,해야한다
running,달리기
boss,사장
alright,괜찮은
promise,약속하다
taken,찍은
safe,안전한
ma,엄마
book,책
sent,전송된
white,하얀색
hour,시간
anybody,아무도
small,작은
perfect,완벽한
cause,원인
lives,삶
special,특별한
parents,부모
s,에스
john,남자
himself,그 자신
perhaps,아마도
sounds,소리
serious,심각한
sick,아픈
company,회사
ha,하아
scared,무서운
uncle,삼촌
poor,가난한
red,빨간색
past,과거
earth,지구
possible,가능한
shoot,사격
touch,만지다
sound,소리
top,맨 위
ass,나귀
laughs,웃음
cannot,할 수 없다
asking,질문
win,이기다
glad,기쁜
control,제어
hmm,흠
human,인간
drive,운전하다
hair,머리카락
jack,잭
bitch,암캐
luck,운
murder,살인
happens,발생
air,공기
ten,열
daddy,아빠
finally,마지막으로
chuckles,낄낄거린다
fast,빠른
cold,추운
seem,~인 것 같다
laughing,웃음
words,단어
hospital,병원
street,거리
hang,걸다
dance,춤
meeting,회의
till,...까지
others,다른 사람
catch,잡다
follow,따르다
sense,감각
sex,섹스
lie,거짓말하다
evening,저녁
master,주인
known,알려진
dream,꿈
write,쓰다
million,백만
voice,목소리
sweet,달콤한
rather,꽤
felt,펠트
sign,징후
lucky,운이 좋은
somewhere,어딘가에
bet,내기
o,영형
jesus,예수
longer,더 길게
calling,부름
worked,일했다
quiet,조용한
looked,보았다
less,더 적은
pull,당기다
beat,이기다
careful,주의 깊은
coffee,커피
return,반품
secret,비밀
weeks,주
weren,있었다
date,날짜
seeing,봄
fall,떨어지다
given,주어진
ooh,우
fault,잘못
straight,똑바로
takes,걸립니다
song,노래
future,미래
gentlemen,신사
loved,사랑받았다
changed,변경됨
road,도로
calm,침착한
wonderful,아주 멋진
mad,미친
turned,돌린
drop,떨어지다
ladies,숙녀
learn,배우다
step,단계
absolutely,전적으로
early,일찍
explain,설명하다
clean,깨끗한
piece,조각
yesterday,어제
throw,던지다
picture,그림
land,땅
feet,피트
wonder,궁금하다
questions,질문
speaking,말하기
worth,가치
darling,여보
dude,녀석
giving,주는
president,대통령
eye,눈
quick,빠른
moving,움직이는
figure,수치
state,상태
strong,강한
sam,샘
none,없음
amazing,놀라운
ones,것들
works,공장
act,행동
needed,필요한
weird,기이한
law,법
worried,걱정하는
report,보고서
goodbye,안녕히 가세요
missing,없어진
choice,선택
happening,사고
chief,셰프
wedding,혼례
strange,이상한
general,일반적인
pain,통증
am,~이다
kidding,농담이야
decided,결정했다
ya,당신
pass,통과하다
tired,피곤한
class,수업
officer,장교
kept,유지된
wake,깨어 있다
worse,더 나쁜
busy,바쁘다
eh,뭐라고
mistake,실수
kiss,키스
court,법원
building,건물
finish,마치다
during,~ 동안
age,나이
ship,배
caught,잡았다
marry,결혼하다
meant,의미했다 
sell,팔다
dark,어두운
watching,보고 있다
system,체계
suppose,가정하다
evidence,증거
movie,영화
ride,타다
t,티
completely,완전히
mouth,입
totally,완전히
birthday,생일
tv,TV
forgive,용서하다
born,태어나다
imagine,상상하다
information,정보
instead,대신에
definitely,분명히
security,보안
certainly,틀림없이
film,영화
month,월
lying,거짓말하는
unless,~하지 않는 한
train,기차
seven,일곱
wear,입다
clothes,옷
michael,남자 이름
hotel,호텔
christmas,크리스마스
attack,공격
hasn,가지고있다
round,둥근
expect,예상하다
sing,노래하다
terrible,끔찍한
george,성 조지
bag,가방
history,역사
blue,파란색
near,가까운
broke,파산
station,역
seriously,진지하게
forever,영원히
david,데이비드
frank,솔직한
except,제외하고
thinks,생각한다
message,메시지
entire,전체
joe,조
table,테이블
talked,이야기했다
across,가로질러
rock,바위
lovely,사랑스러운
handle,핸들
middle,가운데
buddy,친구
paid,유급의
protect,보호하다
using,사용하여
floor,바닥
ran,달렸다
swear,욕을 하다
spend,경비
situation,상황
ring,반지
anywhere,어딘가에
dangerous,위험한
bill,청구서
york,요크
army,군대
lead,선두
bought,구입했다
finished,완성된
fair,공정한
sun,해
letter,편지
fool,바보
attention,주목
club,클럽
simple,단순한
interesting,흥미로운
space,공간
test,시험
box,상자
group,그룹
single,하나의
sitting,좌석
marriage,결혼
join,가입하다
fear,두려움
d,디
peace,평화
forgot,잊어버렸다
force,힘
short,짧은
normal,정상
charlie,백인
present,현재의
enjoy,즐기다
mike,마이크
crime,범죄
horse,말
ground,지면
american,미국 사람
count,세다
area,영역
charge,요금
honor,명예
lunch,점심
miles,마일
radio,라디오
idiot,바보
ball,공
surprise,놀라다
paper,종이
key,열쇠
boat,보트
quickly,빠르게
gold,금
bar,술집
fish,물고기
mark,표시
tom,남자 이름
wearing,착용
crying,울음소리
accident,사고
government,정부
eight,여덟
fell,쓰러뜨리다
cover,씌우다
certain,확실한
interested,관심 있는
deep,깊은
star,별
agree,동의하다
problems,문제
detective,형사
prison,감옥
major,주요한
stick,막대
offer,권하다
difficult,어려운
smart,똑똑한
personal,개인의
record,기록
stopped,중지됨
hide,숨다
whether,~이든
bank,은행
trip,여행
relax,안심하다
america,미국
public,공공의
list,목록
afternoon,오후
brain,뇌
fix,고치다
bastard,새끼
proud,자랑스러운
tea,차
service,서비스
screaming,외침
forward,앞으로
angry,화난
park,공원
soul,영혼
fighting,화이팅
peter,베드로
rich,부자
agent,대리인
blow,불다
paul,폴
dress,드레스
mary,메리
missed,놓쳤다
scene,장면
killing,죽이는
standing,서 있는
saved,저장됨
mm,mm
respect,존경
killer,살인자
ice,얼음
mess,엉망
tough,힘든
feels,느낌
church,교회
sad,슬픈
cell,셀
drunk,술 취한
share,공유하다
camera,카메라
mm-hmm,으흠
within,이내에
card,카드
fly,파리
ben,벤
girlfriend,여자 친구
laugh,웃다
smell,냄새가 나다
broken,고장난
mum,침묵
honest,솔직한
often,자주
starting,시작
calls,전화
y,와이
spent,지출
third,제삼
english,영어
visit,방문하다
mama,엄마
judge,판사
window,창문
hungry,배고픈
dare,도전
relationship,관계
moved,움직이는
prove,입증하다
private,사적인
wall,벽
seat,좌석
i-i,나-나
position,위치
lieutenant,대장 보좌
realize,깨닫다
lt,lt
especially,특히
machine,기계
walking,걷는
art,미술
